hea_id,cas_id,case_number,cth_id,courthouse_name,ctr_id,courtroom_name,start_ts,end_ts,usr_id,defendant_name,judge_name
129345,51674,T201000906,56,HEREFORD,268,1,2010-01-31T21:46:30.000z,2010-01-31T22:46:30.000z,-101,Eithan,N/A
161097,64407,T202300101,32,CIRENCESTER COURTHOUSE,171,1,2023-06-04T15:45:35.000z,2023-06-04T16:45:35.000z,221,Bentlee,Hoffman QC
161977,64765,T201300124,32,CIRENCESTER COURTHOUSE,171,1,2013-01-28T02:35:08.000z,2013-01-28T03:35:08.000z,884,Raven,N/A
172007,68791,T202300375,32,CIRENCESTER COURTHOUSE,171,1,2023-01-30T18:10:15.000z,2023-01-30T19:10:15.000z,221,Kase,Default, Judge
188981,75555,T201900798,32,CIRENCESTER COURTHOUSE,171,1,2019-07-26T07:28:30.000z,2019-07-26T08:28:30.000z,241,Oakley,Default, Judge
197611,79034,T201000216,52,GUILDFORD CROWN COURT SITE B,257,5,2010-10-23T19:31:03.000z,2010-10-23T20:31:03.000z,-101,Angie,NONE
260167,104194,T201800188,45,DORCHESTER,216,1,2018-11-26T20:11:42.000z,2018-11-26T21:11:42.000z,241,David,Bridges KC
263964,105723,T201100284,45,DORCHESTER,216,1,2011-04-24T18:41:26.000z,2011-04-24T19:41:26.000z,221,Lola,HER HONOUR JUDGE Carpenter
278950,111677,T201300656,45,DORCHESTER,216,1,2013-08-24T13:35:39.000z,2013-08-24T14:35:39.000z,-101,Brynn,Her Honour Judge Savage
280385,112252,T201200692,45,DORCHESTER,216,1,2012-11-20T20:28:35.000z,2012-11-20T21:28:35.000z,241,Jessica,West QC
454467,181659,T201100230,135,TEESSIDE MAGISTRATES COURT,674,1,2011-12-16T13:22:52.000z,2011-12-16T14:22:52.000z,821,Emmalyn,His Honour Judge Glover
593964,237466,T201000518,1,4 NEWTON STREET,7,99,2010-11-20T16:11:24.000z,2010-11-20T17:11:24.000z,488,Kasen,HER HONOUR JUDGE Ballard
692888,276865,T201702980,1,4 NEWTON STREET,7,99,2017-07-02T10:08:24.000z,2017-07-02T11:08:24.000z,282,Ezequiel,Smith QC
702146,280523,T201103209,1,4 NEWTON STREET,2,14,2011-03-12T10:57:44.000z,2011-03-12T11:57:44.000z,488,Raul,N/A
923024,369032,T202200740,90,MINSHULL ST SITTING AT STOCKPORT,471,1,2022-02-08T04:31:51.000z,2022-02-08T05:31:51.000z,485,Keith,THE RECORDER OF MINSHULL ST SITTING AT STOCKPORT
1020148,407868,T202400767,44,DONCASTER CROWN COURT,215,2,2024-10-24T01:11:00.000z,2024-10-24T02:11:00.000z,221,Nyla,THE RECORDER OF DONCASTER CROWN COURT
1047629,418770,T201401449,44,DONCASTER CROWN COURT,214,1,2014-07-16T12:57:51.000z,2014-07-16T13:57:51.000z,221,Denise,NONE
1048336,419050,T202201466,44,DONCASTER CROWN COURT,215,2,2022-02-14T04:00:53.000z,2022-02-14T05:00:53.000z,-101,Milani,NONE
1255423,501889,T201300244,12,BOLTON STADIUM,56,2,2013-10-02T07:28:16.000z,2013-10-02T08:28:16.000z,-101,Matthew,Buchanan KC
1274633,509556,T201600723,12,BOLTON STADIUM,55,1,2016-02-06T10:24:28.000z,2016-02-06T11:24:28.000z,903,Isla,Her Honour Judge Fisher
1283407,513129,T202100946,12,BOLTON STADIUM,55,1,2021-12-02T06:54:04.000z,2021-12-02T07:54:04.000z,-101,Castiel,N/A
1289705,515656,T202001104,12,BOLTON STADIUM,56,2,2020-03-19T11:53:38.000z,2020-03-19T12:53:38.000z,903,Ensley,HER HONOUR JUDGE Valentine
1296313,518283,T202301268,12,BOLTON STADIUM,56,2,2023-08-25T13:30:35.000z,2023-08-25T14:30:35.000z,-101,Kai,HER HONOUR JUDGE Barry
1297354,518697,T202101294,12,BOLTON STADIUM,55,1,2021-09-17T16:14:42.000z,2021-09-17T17:14:42.000z,241,Franco,HIS HONOUR JUDGE Moreno
1304454,521522,T201401471,12,BOLTON STADIUM,55,1,2014-10-11T22:17:58.000z,2014-10-11T23:17:58.000z,241,Crystal,HER HONOUR JUDGE Robles
1307581,522784,T201201550,12,BOLTON STADIUM,56,2,2012-07-16T09:09:21.000z,2012-07-16T10:09:21.000z,-101,Paxton,NONE
1333201,533040,T201100591,36,CROWN COURT AT ALDERSGATE HOUSE,188,2,2011-03-18T20:45:34.000z,2011-03-18T21:45:34.000z,221,Summer,Hebert QC
1338646,535249,T201200729,36,CROWN COURT AT ALDERSGATE HOUSE,188,2,2012-08-02T07:06:07.000z,2012-08-02T08:06:07.000z,221,Crosby,HER HONOUR JUDGE Freeman
1348308,539126,T201700971,36,CROWN COURT AT ALDERSGATE HOUSE,188,2,2017-06-14T21:41:40.000z,2017-06-14T22:41:40.000z,306,Florence,Higgins QC
1364223,545565,T202401373,36,CROWN COURT AT ALDERSGATE HOUSE,187,1,2024-02-29T20:56:45.000z,2024-02-29T21:56:45.000z,241,Charlie,Hancock QC
1368426,547265,T201201480,36,CROWN COURT AT ALDERSGATE HOUSE,187,1,2012-05-17T02:25:30.000z,2012-05-17T03:25:30.000z,-101,Colby,THE RECORDER OF CROWN COURT AT ALDERSGATE HOUSE
1373566,549288,T201800006,30,CHESTER TOWN HALL,168,2,2018-06-16T20:13:32.000z,2018-06-16T21:13:32.000z,221,Malaysia,His Honour Judge Salazar
1377749,550971,T202100111,30,CHESTER TOWN HALL,168,2,2021-01-19T05:55:10.000z,2021-01-19T06:55:10.000z,221,Lilliana,His Honour Judge Zhang
1380166,551947,T202100172,30,CHESTER TOWN HALL,168,2,2021-02-18T08:41:15.000z,2021-02-18T09:41:15.000z,221,Trevor,THE RECORDER OF CHESTER TOWN HALL
1416922,566620,T202201089,30,CHESTER TOWN HALL,167,1,2022-11-13T13:01:39.000z,2022-11-13T14:01:39.000z,717,Leif,Sullivan KC
1431446,572457,T201901454,30,CHESTER TOWN HALL,168,2,2019-01-22T08:31:18.000z,2019-01-22T09:31:18.000z,221,Gloria,THE RECORDER OF CHESTER TOWN HALL
1486395,594399,T202401225,132,TAUNTON SITTING AT WORLE,660,1,2024-02-14T05:33:27.000z,2024-02-14T06:33:27.000z,718,Bowen,Reeves KC
1487985,595028,T201301265,132,TAUNTON SITTING AT WORLE,661,5,2013-06-23T18:43:47.000z,2013-06-23T19:43:47.000z,612,Elisa,NONE
1502699,600940,T202000034,29,CHESTER MAGISTRATES COURT,166,2,2020-04-17T21:44:41.000z,2020-04-17T22:44:41.000z,-101,Rodney,Default, Judge
1540823,616145,T200900985,29,CHESTER MAGISTRATES COURT,166,2,2009-12-10T22:32:15.000z,2009-12-10T23:32:15.000z,241,Arjun,HER HONOUR JUDGE Owen
1547815,618958,T202201160,29,CHESTER MAGISTRATES COURT,166,2,2022-05-06T00:22:43.000z,2022-05-06T01:22:43.000z,-101,Grant,NONE
1560448,624007,T201501476,29,CHESTER MAGISTRATES COURT,166,2,2015-03-31T00:54:53.000z,2015-03-31T01:54:53.000z,-101,Dorothy,Bowen QC
1592722,636978,T201000687,54,HARROW CC AT WILLESDEN MC,267,7,2010-07-05T07:06:42.000z,2010-07-05T08:06:42.000z,-101,Kylan,NONE
1599707,639791,T202300862,54,HARROW CC AT WILLESDEN MC,267,7,2023-02-27T15:50:54.000z,2023-02-27T16:50:54.000z,221,Joziah,NONE
1607612,642935,T201501059,54,HARROW CC AT WILLESDEN MC,267,7,2015-03-02T13:41:59.000z,2015-03-02T14:41:59.000z,241,Maggie,N/A
1622273,648798,T202201425,54,HARROW CC AT WILLESDEN MC,266,6,2022-09-05T13:04:22.000z,2022-09-05T14:04:22.000z,241,Thea,Default, Judge
1622280,648803,T201101426,54,HARROW CC AT WILLESDEN MC,266,6,2011-01-25T05:12:57.000z,2011-01-25T06:12:57.000z,-101,Lucia,NONE
1627393,650847,T202301553,54,HARROW CC AT WILLESDEN MC,266,6,2023-04-07T21:51:37.000z,2023-04-07T22:51:37.000z,-101,Brylee,HER HONOUR JUDGE Gonzalez
1741261,696425,T201401202,88,MAPLE HOUSE,464,20,2014-06-24T10:18:59.000z,2014-06-24T11:18:59.000z,483,Jayce,Default, Judge
1826170,730277,T202400117,9,BIRMINGHAM LIBRARY AND REP,38,18,2024-04-13T22:54:48.000z,2024-04-13T23:54:48.000z,-101,Hank,THE RECORDER OF BIRMINGHAM LIBRARY AND REP
1837700,734850,T202100403,9,BIRMINGHAM LIBRARY AND REP,39,19,2021-11-16T03:18:59.000z,2021-11-16T04:18:59.000z,-101,Jocelyn,HIS HONOUR JUDGE Martinez
1844941,737749,T202400584,9,BIRMINGHAM LIBRARY AND REP,39,19,2024-12-28T11:57:18.000z,2024-12-28T12:57:18.000z,241,Douglas,NONE
1858875,743303,T201000932,9,BIRMINGHAM LIBRARY AND REP,39,19,2010-06-22T20:12:52.000z,2010-06-22T21:12:52.000z,241,Malia,N/A
1859242,743446,T200900941,9,BIRMINGHAM LIBRARY AND REP,38,18,2009-09-18T11:02:43.000z,2009-09-18T12:02:43.000z,221,Keith,THE RECORDER OF BIRMINGHAM LIBRARY AND REP
1865629,745969,T202001098,9,BIRMINGHAM LIBRARY AND REP,39,19,2020-06-04T22:00:19.000z,2020-06-04T23:00:19.000z,241,Elsie,Daugherty QC
1879269,751450,T201301441,9,BIRMINGHAM LIBRARY AND REP,38,18,2013-07-07T20:52:59.000z,2013-07-07T21:52:59.000z,241,Mallory,Default, Judge
1915452,765945,T201100747,131,TAUNTON,658,1,2011-03-18T03:09:18.000z,2011-03-18T04:09:18.000z,717,Amalia,HER HONOUR JUDGE Thompson
1937549,774729,T201101296,131,TAUNTON,659,2,2011-03-24T04:35:54.000z,2011-03-24T05:35:54.000z,611,Micah,Roman QC
2003141,800822,T202301326,91,MOLD,472,1,2023-03-14T19:33:34.000z,2023-03-14T20:33:34.000z,486,Levi,HIS HONOUR JUDGE Espinoza
2245094,897424,T201500164,39,CROWN COURT SITTING AT BARCLAY ROAD,193,11,2015-12-05T21:44:55.000z,2015-12-05T22:44:55.000z,321,Violette,HER HONOUR JUDGE Lloyd
2260325,903555,T201800547,39,CROWN COURT SITTING AT BARCLAY ROAD,193,11,2018-07-05T12:26:46.000z,2018-07-05T13:26:46.000z,241,Trevor,His Honour Judge Russell
2273566,908781,T201200874,39,CROWN COURT SITTING AT BARCLAY ROAD,193,11,2012-02-27T06:08:18.000z,2012-02-27T07:08:18.000z,241,Emory,Rice QC
2283376,912698,T200901119,39,CROWN COURT SITTING AT BARCLAY ROAD,194,12,2009-03-08T10:44:00.000z,2009-03-08T11:44:00.000z,221,Kai,THE RECORDER OF CROWN COURT SITTING AT BARCLAY ROAD
2283520,912753,T201601122,39,CROWN COURT SITTING AT BARCLAY ROAD,194,12,2016-09-21T01:26:52.000z,2016-09-21T02:26:52.000z,-101,Joanna,THE RECORDER OF CROWN COURT SITTING AT BARCLAY ROAD
2288075,914590,T201301237,39,CROWN COURT SITTING AT BARCLAY ROAD,193,11,2013-10-08T21:39:41.000z,2013-10-08T22:39:41.000z,-101,Carmelo,HIS HONOUR JUDGE Briggs
2339551,935160,T202300922,73,LEONARDO HOTEL,370,12,2023-09-12T16:51:13.000z,2023-09-12T17:51:13.000z,579,Alaric,NONE
2417088,966098,T201601256,121,SOUTHEND,615,2,2016-12-30T00:33:37.000z,2016-12-30T01:33:37.000z,563,Marlowe,NONE
2446300,977795,T201600387,60,INNER LONDON CC AT THE RCJ,291,38,2016-01-31T02:48:29.000z,2016-01-31T03:48:29.000z,-101,Ellis,NONE
2456610,981924,T201700645,60,INNER LONDON CC AT THE RCJ,290,28,2017-12-30T07:42:05.000z,2017-12-30T08:42:05.000z,221,Maddison,Pitts KC
2460061,983310,T201100732,60,INNER LONDON CC AT THE RCJ,291,38,2011-11-21T09:25:38.000z,2011-11-21T10:25:38.000z,424,Marcos,NONE
2463743,984787,T201600824,60,INNER LONDON CC AT THE RCJ,290,28,2016-02-21T19:49:35.000z,2016-02-21T20:49:35.000z,221,Mordechai,HIS HONOUR JUDGE Finley
2477438,990214,T201901163,60,INNER LONDON CC AT THE RCJ,290,28,2019-02-05T18:12:02.000z,2019-02-05T19:12:02.000z,-101,Joyce,THE RECORDER OF INNER LONDON CC AT THE RCJ
2478977,990813,T201001201,60,INNER LONDON CC AT THE RCJ,291,38,2010-04-09T12:01:48.000z,2010-04-09T13:01:48.000z,241,Marceline,NONE
2489234,994901,T201801456,60,INNER LONDON CC AT THE RCJ,291,38,2018-06-10T00:16:19.000z,2018-06-10T01:16:19.000z,-101,Londyn,HIS HONOUR JUDGE Phan
2548149,1018436,T201601327,26,CHELMSFORD NEW MAGISTRATES,158,7,2016-12-16T09:29:11.000z,2016-12-16T10:29:11.000z,221,Jamison,Kennedy QC
2551682,1019851,T202301415,26,CHELMSFORD NEW MAGISTRATES,157,1,2023-10-30T04:25:41.000z,2023-10-30T05:25:41.000z,241,Lilyana,HIS HONOUR JUDGE Wu
2566095,1025591,T201800174,148,WOOD GREEN CC AT HENDON MC,751,2,2018-12-13T07:01:22.000z,2018-12-13T08:01:22.000z,761,Marlee,His Honour Judge Massey
2882886,1152330,T202000095,150,WORCESTER SHIRE HALL,772,5,2020-02-18T18:41:17.000z,2020-02-18T19:41:17.000z,629,Lukas,NONE
2963948,1184698,T202002118,150,WORCESTER SHIRE HALL,768,1,2020-07-17T11:17:42.000z,2020-07-17T12:17:42.000z,629,Hunter,HIS HONOUR JUDGE Castillo
3068561,1226514,T201100732,126,STOKE ON TRENT,646,3,2011-10-06T14:04:38.000z,2011-10-06T15:04:38.000z,730,Marley,THE RECORDER OF STOKE ON TRENT
3188495,1274430,T202303726,126,STOKE ON TRENT,644,1,2023-11-10T22:02:07.000z,2023-11-10T23:02:07.000z,730,Saige,HER HONOUR JUDGE Padilla
3333083,1332421,T201100151,41,CROYDON JURYS INN,204,11,2011-06-20T20:52:37.000z,2011-06-20T21:52:37.000z,-101,Seth,NONE
