hea_id,start_ts,end_ts,usr_id,email,courthouse_name,defendant_name,judge_name
9561975,2023-05-05T11:55:22.000z,2023-05-05T12:55:22.000z,21,PerfTranscriber30@hmcts.net,LIVERPOOL,Brady,HIS HONOUR JUDGE Estrada
3825432,2023-07-25T19:04:58.000z,2023-07-25T20:04:58.000z,41,PerfTranscriber03@hmcts.net,BASILDON,Catherine,Her Honour Judge Chase
24367672,2023-03-15T14:31:55.000z,2023-03-15T15:31:55.000z,61,PerfTranscriber04@hmcts.net,BIRMINGHAM,Clare,HIS HONOUR JUDGE Page
23121828,2023-08-12T17:17:56.000z,2023-08-12T18:17:56.000z,81,PerfTranscriber05@hmcts.net,BLACKFRIARS,Karter,Default, Judge
25167621,2023-05-01T11:40:20.000z,2023-05-01T12:40:20.000z,82,PerfTranscriber06@hmcts.net,BOURNEMOUTH CROWN AND COUNTY COURTS,Cameron,Her Honour Judge Shannon
23976118,2023-08-26T10:46:39.000z,2023-08-26T11:46:39.000z,83,PerfTranscriber12@hmcts.net,EXETER,Millie,NONE
17556094,2023-12-01T15:53:20.000z,2023-12-01T16:53:20.000z,101,PerfTranscriber07@hmcts.net,BRADFORD,Tyson,THE RECORDER OF BRADFORD
25562559,2024-04-29T05:07:59.000z,2024-04-29T06:07:59.000z,121,PerfTranscriber08@hmcts.net,KINGSTON UPON THAMES,Deandre,Her Honour Judge Wolf
19697502,2023-09-05T13:25:34.000z,2023-09-05T14:25:34.000z,122,PerfTranscriber11@hmcts.net,THE LAW COURTS WEST BAR SHEFFIELD,Eliseo,HER HONOUR JUDGE Morton
14380136,2024-02-01T01:30:22.000z,2024-02-01T02:30:22.000z,123,PerfTranscriber13@hmcts.net,NORTHAMPTON,Frances,Default, Judge
18824351,2024-04-05T09:52:38.000z,2024-04-05T10:52:38.000z,141,PerfTranscriber09@hmcts.net,SOUTHWARK,Arjun,His Honour Judge Sharp
25880053,2023-06-19T20:38:08.000z,2023-06-19T21:38:08.000z,142,PerfTranscriber10@hmcts.net,CARDIFF,Miles,Default, Judge
15355013,2023-08-24T10:51:58.000z,2023-08-24T11:51:58.000z,161,PerfTranscriber14@hmcts.net,FIELD HOUSE,Nathaniel,Bernal QC
9931584,2023-05-02T14:00:19.000z,2023-05-02T15:00:19.000z,161,PerfTranscriber14@hmcts.net,LIVERPOOL,Robin,THE RECORDER OF LIVERPOOL
18510111,2023-10-10T13:42:39.000z,2023-10-10T14:42:39.000z,181,PerfTranscriber15@hmcts.net,MAIDSTONE,Roland,NONE
4493692,2023-12-17T07:36:06.000z,2023-12-17T08:36:06.000z,181,PerfTranscriber15@hmcts.net,NEWCASTLE UPON TYNE,Alessia,NONE
4557822,2023-10-20T14:29:21.000z,2023-10-20T15:29:21.000z,182,PerfTranscriber18@hmcts.net,NEWCASTLE UPON TYNE,Kailani,N/A
22323621,2024-03-20T01:09:40.000z,2024-03-20T02:09:40.000z,182,PerfTranscriber18@hmcts.net,NOTTINGHAM,Randy,N/A
21916546,2023-11-13T00:59:07.000z,2023-11-13T01:59:07.000z,183,PerfTranscriber17@hmcts.net,MANCHESTER MINSHULL STREET,Rebekah,Her Honour Judge Roberts
4692286,2024-03-04T07:16:25.000z,2024-03-04T08:16:25.000z,183,PerfTranscriber17@hmcts.net,NEWCASTLE UPON TYNE,Wren,HIS HONOUR JUDGE Huffman
4776170,2024-03-04T12:14:19.000z,2024-03-04T13:14:19.000z,184,PerfTranscriber20@hmcts.net,NEWCASTLE UPON TYNE,Max,HIS HONOUR JUDGE Short
20569166,2023-09-24T16:06:30.000z,2023-09-24T17:06:30.000z,184,PerfTranscriber20@hmcts.net,PORTSMOUTH,Donovan,N/A
19129260,2023-06-08T14:35:59.000z,2023-06-08T15:35:59.000z,201,PerfTranscriber16@hmcts.net,MANCHESTER,Callie,Reilly KC
4716959,2023-04-24T04:35:13.000z,2023-04-24T05:35:13.000z,201,PerfTranscriber16@hmcts.net,NEWCASTLE UPON TYNE,Erik,HER HONOUR JUDGE Ibarra
4507835,2023-10-01T09:59:20.000z,2023-10-01T10:59:20.000z,202,PerfTranscriber19@hmcts.net,NEWCASTLE UPON TYNE,Julie,Default, Judge
